"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"C2",1,105.782,105.782,30148,30148,33.9221,33.9221,,,
1,"C3",3,2683.68,894.56,2537370,845790,272.448,90.8161,,,
1,"C4",3,4027.14,1342.38,1494530,498176,125.333,41.7778,,,
1,"C5",2,3577.33,1788.66,1684690,842343,118.192,59.0959,,,
1,"C9",3,3064.24,1021.41,2723500,907833,308.632,102.877,,,
1,"C10",1,1650.98,1650.98,2034010,2034010,146.639,146.639,,,
1,"C11",11,24486,2226,1.46664E+07,1333310,821.63,74.6936,,,
1,"C12",1,1776.62,1776.62,552530,552530,37.0168,37.0168,,,
1,"C1",,,,,,,,,,
1,"C6",,,,,,,,,,
1,"C7",,,,,,,,,,
1,"C8",,,,,,,,,,
2,"C1",1,2066.45,2066.45,745989,745989,42.968,42.968,,,
2,"C2",1,104.941,104.941,30223,30223,34.2792,34.2792,,,
2,"C3",3,1468.54,489.513,1616070,538689,308.632,102.877,,,
2,"C4",2,2351.76,1175.88,762721,381361,65.8208,32.9104,,,
2,"C5",2,3194.08,1597.04,2210950,1105470,227.1,113.55,,,
2,"C8",7,12320.3,1760.05,8110860,1158690,571.082,81.5831,,,
2,"C9",11,17994.4,1635.86,1.05004E+07,954585,927.562,84.3238,,,
2,"C10",1,1554.18,1554.18,1690950,1690950,129.499,129.499,,,
2,"C11",11,23180.8,2107.34,1.22374E+07,1112490,670.468,60.9516,,,
2,"C12",11,14031.5,1275.59,7663290,696663,813.179,73.9253,,,
2,"C6",,,,,,,,,,
2,"C7",,,,,,,,,,
3,"C1",4,4619.49,1154.87,3540840,885210,438.012,109.503,,,
3,"C2",3,2920.45,973.484,2468800,822933,234.36,78.1201,,,
3,"C3",2,1210.41,605.203,1404890,702447,278.518,139.259,,,
3,"C4",4,5406.4,1351.6,1921360,480340,159.255,39.8139,,,
3,"C5",4,6734.2,1683.55,4245650,1061410,401.947,100.487,,,
3,"C7",2,4615.78,2307.89,1845760,922882,91.0541,45.5271,,,
3,"C8",10,18892.1,1889.21,1.25763E+07,1257630,800.086,80.0086,,,
3,"C9",18,34885.2,1938.06,2.27105E+07,1261690,1736.57,96.4764,,,
3,"C10",3,5409.85,1803.28,3405310,1135100,238.526,79.5087,,,
3,"C11",11,23930.4,2175.49,1.28903E+07,1171840,762.236,69.2942,,,
3,"C12",8,14891.3,1861.41,8275750,1034470,596.077,74.5097,,,
3,"C6",,,,,,,,,,
4,"C1",6,5615.81,935.968,4384070,730679,551.324,91.8873,,,
4,"C2",2,2841.34,1420.67,2383410,1191710,203.89,101.945,,,
4,"C3",3,1104.31,368.104,1273620,424539,300.895,100.298,,,
4,"C4",5,6299.7,1259.94,2806880,561375,256.261,51.2522,,,
4,"C5",3,3310.67,1103.56,2087520,695841,298.396,99.4652,,,
4,"C7",5,8537.98,1707.6,4518430,903685,336.008,67.2015,,,
4,"C8",11,19901.6,1809.23,1.23076E+07,1118870,894.473,81.3157,,,
4,"C9",21,36444.4,1735.45,2.62065E+07,1247930,2061.99,98.19,,,
4,"C10",3,5147.1,1715.7,3576060,1192020,243.644,81.2147,,,
4,"C11",13,25949.6,1996.12,1.31365E+07,1010500,798.301,61.4077,,,
4,"C12",7,12809.6,1829.94,6527610,932516,451.938,64.5626,,,
4,"C6",,,,,,,,,,
5,"C1",4,4488.8,1122.2,3577200,894301,412.779,103.195,,,
5,"C2",3,1848.37,616.122,2031970,677322,331.961,110.654,,,
5,"C3",1,530.32,530.32,948742,948742,212.936,212.936,,,
5,"C4",5,4951.76,990.353,1936540,387308,243.763,48.7526,,,
5,"C5",5,9517.18,1903.44,4616320,923263,368.025,73.6051,,,
5,"C7",5,7631.86,1526.37,4682150,936429,391.354,78.2708,,,
5,"C8",11,16436,1494.19,1.23149E+07,1119540,1060.27,96.3886,,,
5,"C9",26,44413.8,1708.22,3.26646E+07,1256330,2614.5,100.558,,,
5,"C10",2,3431.85,1715.92,2473990,1236990,167.23,83.6151,,,
5,"C11",13,25334.4,1948.8,1.33471E+07,1026700,834.484,64.1911,,,
5,"C12",9,15674.6,1741.62,1.19566E+07,1328510,872.453,96.9393,,,
5,"C6",,,,,,,,,,
6,"C1",12,8488.16,707.347,8748660,729055,1464.96,122.08,,,
6,"C2",3,1372.11,457.369,1804170,601391,362.55,120.85,,,
6,"C3",3,826.902,275.634,1065980,355326,313.036,104.345,,,
6,"C4",9,7607.92,845.324,4741250,526806,770.33,85.5922,,,
6,"C5",7,9023.57,1289.08,6709080,958440,669.992,95.7131,,,
6,"C7",6,8853.77,1475.63,4610240,768373,422.658,70.443,,,
6,"C8",10,12619.9,1261.99,1.0519E+07,1051900,949.462,94.9462,,,
6,"C9",24,41756.5,1739.85,3.21585E+07,1339940,2548.56,106.19,,,
6,"C10",4,5415.92,1353.98,3111500,777876,277.09,69.2726,,,
6,"C11",14,20629.6,1473.54,1.23585E+07,882750,1199.89,85.7065,,,
6,"C12",13,18657.1,1435.16,1.50328E+07,1156370,1505.31,115.793,,,
6,"C6",,,,,,,,,,
7,"C1",11,8177.13,743.376,7087230,644294,1230.48,111.862,,,
7,"C2",3,1252.91,417.636,1672170,557391,361.598,120.533,,,
7,"C3",4,1972.4,493.099,2217240,554309,484.194,121.048,,,
7,"C4",8,4324.23,540.529,3195610,399451,772.472,96.559,,,
7,"C5",8,10663.1,1332.89,7156070,894509,855.195,106.899,,,
7,"C6",1,2280.71,2280.71,1092460,1092460,57.013,57.013,,,
7,"C7",7,8667.18,1238.17,5101830,728832,609.765,87.1093,,,
7,"C8",17,17218.2,1012.83,1.57157E+07,924453,1969.15,115.832,,,
7,"C9",24,35652.2,1485.51,2.84835E+07,1186810,2737.69,114.071,,,
7,"C10",4,6672.34,1668.08,3480840,870209,261.141,65.2852,,,
7,"C11",17,22884.8,1346.17,1.33342E+07,784365,1192.99,70.1757,,,
7,"C12",13,18824.8,1448.06,1.72308E+07,1325450,1536.37,118.183,,,
8,"C1",10,6129.39,612.939,7051840,705184,1341.65,134.165,,,
8,"C2",3,1545.03,515.012,1475170,491723,340.65,113.55,,,
8,"C3",1,810.855,810.855,1182230,1182230,173.538,173.538,,,
8,"C4",11,6672.91,606.628,3448000,313455,680.109,61.8281,,,
8,"C5",6,7156.28,1192.71,5941180,990196,680.585,113.431,,,
8,"C6",1,2213.09,2213.09,1115400,1115400,59.9886,59.9886,,,
8,"C7",6,9038.8,1506.47,5205040,867506,527.281,87.8801,,,
8,"C8",14,18918.1,1351.29,1.49325E+07,1066600,1456.75,104.053,,,
8,"C9",25,40146.3,1605.85,2.75368E+07,1101470,2220.89,88.8355,,,
8,"C10",4,5794.5,1448.62,2969260,742316,238.764,59.691,,,
8,"C11",15,22517.9,1501.19,1.31208E+07,874723,1235,82.3336,,,
8,"C12",14,15994.6,1142.47,1.53145E+07,1093900,1597.2,114.085,,,
9,"C1",15,9478.9,631.927,8414520,560968,1627.43,108.495,,,
9,"C2",1,107.708,107.708,29512,29512,32.6129,32.6129,,,
9,"C3",2,1219.92,609.96,1589900,794951,302.085,151.043,,,
9,"C4",6,5184.38,864.063,2521470,420246,387.664,64.6107,,,
9,"C5",7,6119.4,874.199,6129260,875608,906.494,129.499,,,
9,"C6",3,5303.14,1767.71,3821950,1273980,337.674,112.558,,,
9,"C7",6,9591.28,1598.55,5257740,876290,505.142,84.1904,,,
9,"C8",15,18572.5,1238.17,1.51322E+07,1008810,1594.82,106.321,,,
9,"C9",24,39375.9,1640.66,2.70993E+07,1129140,2259.33,94.1389,,,
9,"C10",5,7951.95,1590.39,4308030,861605,373.977,74.7953,,,
9,"C11",15,17850.6,1190.04,1.17653E+07,784351,1404.85,93.6568,,,
9,"C12",16,16234.2,1014.64,1.74461E+07,1090380,2056.75,128.547,,,
10,"C1",13,9176.75,705.904,7955630,611971,1371.53,105.502,,,
10,"C2",4,2673.04,668.26,1120730,280183,197.462,49.3656,,,
10,"C3",3,1125.7,375.232,1203410,401137,244.834,81.6115,,,
10,"C4",8,6730.51,841.314,3053640,381705,485.146,60.6432,,,
10,"C5",8,8926.61,1115.83,7463950,932994,921.849,115.231,,,
10,"C6",2,4786,2393,1686860,843430,88.1975,44.0988,,,
10,"C7",7,10710.4,1530.06,5534190,790599,488.598,69.7997,,,
10,"C8",14,17051.9,1217.99,1.3873E+07,990931,1527.09,109.078,,,
10,"C9",26,38682.3,1487.78,2.74563E+07,1056010,2554.87,98.2643,,,
10,"C10",11,9335.42,848.675,6087190,553381,903.281,82.1164,,,
10,"C11",13,19911,1531.62,1.11035E+07,854115,986.598,75.8922,,,
10,"C12",16,18605.1,1162.82,1.99505E+07,1246910,2060.32,128.77,,,
11,"C1",17,13404.3,788.488,9094290,534958,1664.33,97.9016,,,
11,"C2",2,2974.55,1487.27,2771250,1385630,264.474,132.237,,,
11,"C3",4,2054.2,513.55,1682350,420588,399.091,99.7727,,,
11,"C4",9,6437.64,715.294,4147040,460782,848.529,94.281,,,
11,"C5",10,9472.26,947.226,7982610,798261,1200.01,120.001,,,
11,"C6",4,5809.16,1452.29,3317680,829421,356.123,89.0307,,,
11,"C7",10,12223,1222.3,7543160,754316,989.574,98.9574,,,
