"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"E2",20,20450,1022.5,996369,49818.4,104.147,5.20734,,,
1,"E3",53,66350.3,1251.89,3318720,62617.3,299.11,5.64358,,,
1,"E4",232,238310,1027.2,1.32306E+07,57028.5,1406.28,6.06155,,,
1,"E5",119,190457,1600.48,1.02586E+07,86207,728.552,6.12229,,,
1,"E6",124,141691,1142.67,8840880,71297.4,843.887,6.80554,,,
1,"E7",165,208565,1264.03,1.2871E+07,78006.1,1079.08,6.53988,,,
1,"E8",363,679500,1871.9,4.03267E+07,111093,2496.79,6.8782,,,
1,"E9",240,439570,1831.54,2.62152E+07,109230,1604.93,6.68722,,,
1,"E10",330,739336,2240.41,4.52829E+07,137221,2339.44,7.0892,,,
1,"E11",550,1222990,2223.62,7.51567E+07,136649,3903.9,7.098,,,
1,"E12",634,1347180,2124.9,7.99863E+07,126161,4336.56,6.83999,,,
1,"E1",,,,,,,,,,
2,"E1",12,11761.7,980.145,581237,48436.4,63.2023,5.26686,,,
2,"E2",437,526237,1204.2,2.75622E+07,63071.5,2608.43,5.96895,,,
2,"E3",278,351646,1264.91,1.91911E+07,69032.6,1733.72,6.2364,,,
2,"E4",673,912995,1356.61,5.04646E+07,74984.5,4303.35,6.39428,,,
2,"E5",510,918897,1801.76,5.04553E+07,98931.9,3230.22,6.33376,,,
2,"E6",576,1044250,1812.94,5.66194E+07,98297.6,3605.62,6.25976,,,
2,"E7",600,1011640,1686.06,5.51954E+07,91992.4,3754.52,6.25754,,,
2,"E8",683,1456930,2133.14,8.44394E+07,123630,4597.82,6.7318,,,
2,"E9",749,1654860,2209.42,9.60295E+07,128210,5040.11,6.72912,,,
2,"E10",532,1310290,2462.94,7.73514E+07,145397,3662.76,6.88488,,,
2,"E11",1016,2455200,2416.54,1.4885E+08,146506,7168.4,7.05551,,,
2,"E12",1005,2218470,2207.43,1.2924E+08,128597,6784.42,6.75067,,,
3,"E1",15,16869.6,1124.64,894822,59654.8,89.7449,5.98299,,,
3,"E2",722,921962,1276.96,4.74921E+07,65778.5,4324.54,5.98966,,,
3,"E3",474,629543,1328.15,3.26048E+07,68786.5,2835.29,5.98163,,,
3,"E4",966,1342220,1389.47,7.36144E+07,76205.4,6133.48,6.34936,,,
3,"E5",934,1610740,1724.56,8.84154E+07,94663.2,5924.71,6.34337,,,
3,"E6",842,1565310,1859.04,8.35497E+07,99227.7,5232.81,6.21474,,,
3,"E7",808,1329210,1645.07,7.27552E+07,90043.6,5111.89,6.32659,,,
3,"E8",895,1868370,2087.56,1.06894E+08,119435,5983.27,6.68522,,,
3,"E9",1014,2310610,2278.71,1.32434E+08,130606,6779.9,6.68629,,,
3,"E10",725,1778970,2453.76,1.04056E+08,143525,4961.32,6.8432,,,
3,"E11",1349,3233720,2397.12,1.93332E+08,143315,9426.9,6.98806,,,
3,"E12",1265,2804650,2217.12,1.58714E+08,125465,8308.78,6.5682,,,
4,"E1",18,21858.9,1214.38,1122230,62346.3,104.504,5.80578,,,
4,"E2",975,1265380,1297.82,6.4808E+07,66469.8,5784.5,5.93282,,,
4,"E3",673,863331,1282.81,4.56477E+07,67827.2,4112.79,6.11113,,,
4,"E4",1192,1646610,1381.38,9.10337E+07,76370.5,7648.78,6.41677,,,
4,"E5",1279,2348770,1836.41,1.27487E+08,99677.3,8068.94,6.30879,,,
4,"E6",1046,1915030,1830.82,1.01961E+08,97476.9,6503.65,6.21763,,,
4,"E7",984,1797770,1827,9.64091E+07,97976.7,6128.12,6.22777,,,
4,"E8",1044,2151260,2060.59,1.22483E+08,117321,6977.25,6.68319,,,
4,"E9",1179,2683150,2275.78,1.54621E+08,131146,7945.16,6.73889,,,
4,"E10",916,2228010,2432.33,1.30338E+08,142290,6243.93,6.81652,,,
4,"E11",1639,3871770,2362.28,2.26486E+08,138185,11234.5,6.8545,,,
4,"E12",1552,3465470,2232.9,1.95382E+08,125890,10238.6,6.59707,,,
5,"E1",20,24154.4,1207.72,1200690,60034.7,115.335,5.76676,,,
5,"E2",1183,1501890,1269.56,7.79058E+07,65854.5,7093.77,5.99643,,,
5,"E3",839,1114600,1328.48,5.84964E+07,69721.6,5075.23,6.04914,,,
5,"E4",1371,1903870,1388.67,1.04829E+08,76461.8,8762.74,6.39149,,,
5,"E5",1508,2735330,1813.88,1.47644E+08,97906.8,9462.25,6.2747,,,
5,"E6",1253,2251420,1796.83,1.18425E+08,94513.3,7668.19,6.11986,,,
5,"E7",1171,2040770,1742.76,1.09466E+08,93481,7296.23,6.23077,,,
5,"E8",1191,2400930,2015.9,1.38018E+08,115884,8025.5,6.73845,,,
5,"E9",1381,2890600,2093.12,1.65226E+08,119642,9230.63,6.68402,,,
5,"E10",1044,2530120,2423.48,1.47179E+08,140976,7098.17,6.79902,,,
5,"E11",1779,4179620,2349.42,2.43769E+08,137026,12140.2,6.82417,,,
5,"E12",1743,3827830,2196.12,2.16013E+08,123931,11518,6.60818,,,
6,"E1",27,30889,1144.04,1477080,54706.7,149.614,5.54128,,,
6,"E2",1363,1739350,1276.12,8.99618E+07,66002.8,8152.97,5.98164,,,
6,"E3",1009,1303990,1292.36,6.83633E+07,67753.5,6096.34,6.04196,,,
6,"E4",1526,2001940,1311.89,1.13438E+08,74336.6,10076.2,6.603,,,
6,"E5",1720,2936380,1707.2,1.60507E+08,93317.9,10952.4,6.3677,,,
6,"E6",1363,2426190,1780.03,1.28147E+08,94018.2,8369.12,6.14022,,,
6,"E7",1324,2331560,1761,1.23824E+08,93522.6,8180.95,6.17896,,,
6,"E8",1289,2591100,2010.16,1.48158E+08,114940,8637.53,6.70095,,,
6,"E9",1510,3294770,2181.97,1.87094E+08,123903,10027.5,6.64073,,,
6,"E10",1121,2719350,2425.82,1.57257E+08,140283,7588.92,6.76977,,,
6,"E11",1912,4499550,2353.32,2.64543E+08,138359,13157.7,6.88166,,,
6,"E12",1887,4132190,2189.82,2.29433E+08,121586,12214.2,6.47283,,,
7,"E1",61,68692.3,1126.1,3390670,55584.8,345.172,5.65857,,,
7,"E2",1499,1922920,1282.8,9.86413E+07,65804.7,8919.85,5.95054,,,
7,"E3",1136,1481490,1304.13,7.7255E+07,68006.1,6832.87,6.01485,,,
7,"E4",1696,2279660,1344.14,1.27148E+08,74969.1,10917.3,6.43711,,,
7,"E5",1920,3441240,1792.32,1.85127E+08,96420.4,12009.9,6.25514,,,
7,"E6",1461,2625230,1796.87,1.38443E+08,94758.8,8959.96,6.13276,,,
7,"E7",1449,2518690,1738.22,1.34413E+08,92762.9,8997.46,6.20942,,,
7,"E8",1374,2652360,1930.39,1.51774E+08,110462,9226.1,6.71478,,,
7,"E9",1617,3337090,2063.75,1.907E+08,117935,10806.9,6.68329,,,
7,"E10",1229,2963100,2410.98,1.70856E+08,139020,8304.49,6.75711,,,
7,"E11",2050,4804040,2343.43,2.7777E+08,135497,13881.2,6.7713,,,
7,"E12",1999,4332470,2167.32,2.40954E+08,120537,12979.2,6.49285,,,
8,"E1",84,94047.4,1119.61,4504330,53623,467.173,5.56158,,,
8,"E2",1643,2109620,1284.01,1.09007E+08,66346.4,9825.28,5.98008,,,
8,"E3",1283,1624330,1266.04,8.58494E+07,66913,7806.73,6.08475,,,
8,"E4",1832,2495480,1362.16,1.38564E+08,75635.2,11799.3,6.44067,,,
8,"E5",2066,3698990,1790.41,1.98351E+08,96007,12898.7,6.24334,,,
8,"E6",1550,2718360,1753.78,1.43266E+08,92429.6,9507.6,6.13393,,,
8,"E7",1534,2762300,1800.72,1.4636E+08,95410.8,9479.27,6.17945,,,
8,"E8",1439,1946300,1352.54,1.24168E+08,86287.8,10725.2,7.45325,,,
8,"E9",1717,3602930,2098.38,2.04912E+08,119343,11433.2,6.65881,,,
