"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"F1",1190,503718,423.293,1.25564E+07,10551.6,3200.94,2.68987,,,
1,"F2",325,145759,448.49,3811770,11728.5,916.731,2.82071,,,
1,"F3",544,248292,456.419,6819060,12535,1546.02,2.84194,,,
1,"F4",4,1135.65,283.912,25661,6415.25,9.87908,2.46977,,,
1,"F5",1332,1116490,838.207,3.9437E+07,29607.3,4871.34,3.65716,,,
1,"F6",391,291385,745.231,9024090,23079.5,1321.77,3.38049,,,
1,"F7",406,329078,810.538,1.14295E+07,28151.4,1482.81,3.65225,,,
1,"F8",9,5470.63,607.848,187519,20835.4,35.1124,3.90138,,,
1,"F9",1423,1525800,1072.24,5.82385E+07,40926.6,5745.57,4.03765,,,
1,"F10",784,751598,958.67,2.77401E+07,35382.8,3091.08,3.9427,,,
1,"F11",193,225005,1165.83,1.0844E+07,56186.3,959.103,4.96945,,,
1,"F12",440,393243,893.733,1.38489E+07,31474.9,1648.5,3.74658,,,
2,"F1",2267,959687,423.329,2.32707E+07,10265,6060.16,2.67321,,,
2,"F2",955,445064,466.036,1.14106E+07,11948.2,2687.47,2.8141,,,
2,"F3",2196,1168930,532.297,2.95067E+07,13436.5,6108.84,2.7818,,,
2,"F4",19,6429.87,338.414,131464,6919.16,43.8012,2.30533,,,
2,"F5",4559,3655290,801.774,1.2637E+08,27718.8,17042.7,3.73826,,,
2,"F6",907,626502,690.741,2.01142E+07,22176.6,3195.11,3.52272,,,
2,"F7",1284,1024040,797.541,3.72808E+07,29034.9,4939.42,3.8469,,,
2,"F8",303,303613,1002.02,1.40594E+07,46400.6,1478.41,4.87924,,,
2,"F9",2945,3309010,1123.6,1.24253E+08,42191.3,11914.2,4.04556,,,
2,"F10",1074,1045900,973.838,3.7579E+07,34989.8,4182.66,3.89447,,,
2,"F11",469,481058,1025.71,1.95485E+07,41681.1,1998.67,4.26155,,,
2,"F12",564,548697,972.867,1.79715E+07,31864.3,2010.09,3.564,,,
3,"F1",2520,1084050,430.179,2.58669E+07,10264.6,6655.76,2.64117,,,
