"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"A4",1,2000.49,2000.49,9866400,9866400,587.031,587.031,,,
1,"F4",4,7541.42,1885.36,3.05484E+07,7637090,2261.48,565.369,,,
1,"B4",,,,,,,,,,
1,"C4",,,,,,,,,,
1,"D4",,,,,,,,,,
1,"E4",,,,,,,,,,
1,"A5",,,,,,,,,,
1,"B5",,,,,,,,,,
1,"C5",,,,,,,,,,
1,"D5",,,,,,,,,,
1,"G4",,,,,,,,,,
1,"H4",,,,,,,,,,
2,"A4",1,2015.42,2015.42,9835250,9835250,580.842,580.842,,,
2,"F4",4,7713.26,1928.31,2.71671E+07,6791790,1731.1,432.775,,,
2,"B4",,,,,,,,,,
2,"C4",,,,,,,,,,
2,"D4",,,,,,,,,,
2,"E4",,,,,,,,,,
2,"A5",,,,,,,,,,
2,"B5",,,,,,,,,,
2,"C5",,,,,,,,,,
2,"D5",,,,,,,,,,
2,"G4",,,,,,,,,,
2,"H4",,,,,,,,,,
3,"A4",1,1958.56,1958.56,9792790,9792790,595.125,595.125,,,
3,"F4",4,7431.19,1857.8,2.606E+07,6515000,1732.05,433.013,,,
3,"B4",,,,,,,,,,
3,"C4",,,,,,,,,,
3,"D4",,,,,,,,,,
3,"E4",,,,,,,,,,
3,"A5",,,,,,,,,,
3,"B5",,,,,,,,,,
3,"C5",,,,,,,,,,
3,"D5",,,,,,,,,,
3,"G4",,,,,,,,,,
3,"H4",,,,,,,,,,
4,"A4",1,1901.11,1901.11,9650030,9650030,604.171,604.171,,,
4,"D5",1,2618.85,2618.85,3341650,3341650,151.876,151.876,,,
4,"F4",4,6996.19,1749.05,1.69035E+07,4225870,1156.21,289.052,,,
4,"B4",,,,,,,,,,
4,"C4",,,,,,,,,,
4,"D4",,,,,,,,,,
4,"E4",,,,,,,,,,
4,"A5",,,,,,,,,,
4,"B5",,,,,,,,,,
4,"C5",,,,,,,,,,
4,"G4",,,,,,,,,,
4,"H4",,,,,,,,,,
5,"A4",1,1847.05,1847.05,9693330,9693330,624.643,624.643,,,
5,"A5",1,2004.48,2004.48,9164460,9164460,544.182,544.182,,,
5,"C4",1,1887.8,1887.8,8850010,8850010,557.989,557.989,,,
5,"D5",1,2645.45,2645.45,3290940,3290940,148.067,148.067,,,
5,"E4",1,1687.49,1687.49,8565680,8565680,604.171,604.171,,,
5,"F4",3,5066.1,1688.7,1.76886E+07,5896200,1360.22,453.406,,,
5,"B4",,,,,,,,,,
5,"D4",,,,,,,,,,
5,"B5",,,,,,,,,,
5,"C5",,,,,,,,,,
5,"G4",,,,,,,,,,
5,"H4",,,,,,,,,,
6,"A4",1,1712.56,1712.56,9391690,9391690,652.733,652.733,,,
6,"A5",1,2076.88,2076.88,9686580,9686580,555.133,555.133,,,
6,"B4",1,955.482,955.482,9390480,9390480,1169.78,1169.78,,,
6,"C4",1,2083.07,2083.07,8773890,8773890,501.333,501.333,,,
6,"D5",1,2638.51,2638.51,3166210,3166210,142.83,142.83,,,
6,"E4",1,1556.6,1556.6,9009590,9009590,688.917,688.917,,,
6,"F4",3,4477.3,1492.43,1.88055E+07,6268510,1760.62,586.873,,,
6,"G4",6,2608.72,434.787,9276530,1546090,1397.83,232.972,,,
6,"D4",,,,,,,,,,
6,"B5",,,,,,,,,,
6,"C5",,,,,,,,,,
6,"H4",,,,,,,,,,
7,"A4",1,1409.27,1409.27,9008080,9008080,760.808,760.808,,,
7,"A5",1,1608.13,1608.13,8619560,8619560,637.974,637.974,,,
7,"B4",1,936.359,936.359,9442250,9442250,1200.25,1200.25,,,
