"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"F1",151,65623,434.59,1930390,12784.1,468.244,3.10096,,,
1,"F2",330,131192,397.552,3608460,10934.7,978.624,2.96553,,,
1,"F3",172,72166.7,419.574,2065220,12007.1,539.421,3.13617,,,
1,"F4",3,1315.36,438.453,79767,26589,18.3298,6.10995,,,
1,"F5",138,90361.8,654.795,3121230,22617.6,517.283,3.74843,,,
1,"F6",215,134222,624.287,4424430,20578.8,770.806,3.58514,,,
1,"F7",188,118332,629.424,4004870,21302.5,711.055,3.78221,,,
1,"F8",292,176961,606.029,5474960,18749.9,1010.76,3.46151,,,
1,"F9",228,179889,788.987,6607020,28978.1,872.334,3.82603,,,
1,"F10",33,23546.8,713.54,830880,25178.2,111.645,3.3832,,,
1,"F11",88,65405.9,743.249,2258770,25667.9,337.793,3.83856,,,
1,"F12",29,26171.1,902.452,959061,33071.1,122.358,4.21923,,,
2,"F1",193,84426,437.441,2412130,12498.1,594.292,3.07923,,,
2,"F2",374,157420,420.908,4278100,11438.8,1098.12,2.93616,,,
2,"F3",269,114680,426.32,3360780,12493.6,843.173,3.13447,,,
2,"F4",15,7001.55,466.77,207692,13846.1,47.2529,3.1502,,,
2,"F5",139,94094.7,676.94,3498750,25170.9,557.037,4.00746,,,
2,"F6",344,220163,640.009,7371800,21429.6,1251.19,3.63718,,,
2,"F7",212,134942,636.521,4612070,21755,798.896,3.76838,,,
2,"F8",360,219472,609.644,7163210,19897.8,1301.54,3.61538,,,
2,"F9",433,356690,823.764,1.2499E+07,28866.1,1642.07,3.79231,,,
2,"F10",109,104528,958.976,4256320,39048.8,450.867,4.13639,,,
2,"F11",112,96624.9,862.722,3659290,32672.3,447.772,3.99796,,,
2,"F12",116,110183,949.856,5035120,43406.2,566.559,4.88413,,,
3,"F1",266,116125,436.562,3279990,12330.8,821.511,3.08839,,,
3,"F2",387,167961,434.007,4677210,12085.8,1175.49,3.03744,,,
3,"F3",487,228656,469.52,6953270,14277.8,1590.17,3.26524,,,
3,"F4",114,61996.7,543.831,2112300,18528.9,414.445,3.63548,,,
3,"F5",252,182593,724.574,7118730,28248.9,1059.68,4.20508,,,
3,"F6",389,251232,645.84,8402150,21599.3,1402.59,3.60563,,,
3,"F7",286,190458,665.936,6225000,21765.7,1054.92,3.68853,,,
3,"F8",397,261330,658.262,8397160,21151.5,1410.45,3.55276,,,
3,"F9",513,407132,793.629,1.39376E+07,27168.8,1901.9,3.70741,,,
3,"F10",136,132257,972.478,5317830,39101.7,577.271,4.24464,,,
3,"F11",155,140155,904.225,5547340,35789.3,655.828,4.23115,,,
3,"F12",229,212386,927.448,8353180,36476.8,976.362,4.26359,,,
4,"F1",323,141139,436.961,4048690,12534.6,1005.64,3.11344,,,
4,"F2",421,175521,416.914,4767190,11323.5,1245.6,2.95866,,,
4,"F3",691,326537,472.557,9930400,14371,2293.25,3.31875,,,
4,"F4",385,194373,504.864,6077060,15784.6,1309.99,3.40257,,,
4,"F5",317,223875,706.229,8385400,26452.4,1284.16,4.05098,,,
4,"F6",464,303280,653.621,1.01359E+07,21844.7,1697.18,3.65771,,,
4,"F7",327,206108,630.3,6967960,21308.7,1221.08,3.73418,,,
4,"F8",474,299491,631.837,9684280,20431,1710.75,3.60917,,,
4,"F9",532,417184,784.18,1.43312E+07,26938.3,1989.98,3.74056,,,
4,"F10",225,211065,938.067,8299660,36887.4,945.416,4.20185,,,
4,"F11",227,200830,884.716,7809930,34405,940.178,4.14176,,,
4,"F12",330,303751,920.458,1.15756E+07,35077.5,1376.88,4.17237,,,
5,"F1",422,198400,470.143,5771410,13676.3,1334.15,3.1615,,,
5,"F2",436,190765,437.535,5156660,11827.2,1288.45,2.95515,,,
5,"F3",749,365867,488.475,1.09826E+07,14663,2467.98,3.29504,,,
5,"F4",525,238298,453.902,7168520,13654.3,1711.82,3.2606,,,
5,"F5",349,243722,698.345,8933370,25597,1385.81,3.9708,,,
5,"F6",563,362706,644.239,1.23258E+07,21893.1,2077.22,3.68956,,,
5,"F7",406,270580,666.454,9602730,23652,1594.22,3.92665,,,
5,"F8",514,343282,667.863,1.13788E+07,22137.8,1887.02,3.67125,,,
5,"F9",554,436222,787.404,1.50813E+07,27222.6,2094.72,3.78108,,,
5,"F10",305,278385,912.738,1.05229E+07,34501.4,1241.19,4.06948,,,
5,"F11",273,240265,880.092,9128740,33438.6,1117.88,4.09481,,,
5,"F12",409,354846,867.593,1.33661E+07,32679.9,1692.42,4.13794,,,
6,"F1",496,237644,479.122,7292520,14702.7,1645.04,3.31662,,,
6,"F2",426,181624,426.348,5342590,12541.3,1338.08,3.14103,,,
6,"F3",785,388374,494.744,1.19085E+07,15170.1,2635.93,3.35787,,,
6,"F4",590,280165,474.857,8490530,14390.7,1935.58,3.28065,,,
6,"F5",394,264982,672.542,9944190,25239.1,1593.39,4.04413,,,
6,"F6",693,447636,645.939,1.49265E+07,21539,2520.47,3.63705,,,
6,"F7",516,349809,677.924,1.26612E+07,24537.3,2040.68,3.95481,,,
6,"F8",580,383827,661.77,1.27079E+07,21910.2,2111.62,3.64073,,,
6,"F9",592,455663,769.701,1.5655E+07,26444.3,2212.67,3.73763,,,
6,"F10",398,359721,903.822,1.42471E+07,35796.7,1689.2,4.24423,,,
6,"F11",315,275165,873.54,1.03752E+07,32937.1,1279.99,4.06348,,,
6,"F12",478,401384,839.716,1.44031E+07,30132,1867.74,3.90741,,,
7,"F1",608,296717,488.022,9154300,15056.4,2027.23,3.33427,,,
7,"F2",437,193998,443.932,5633200,12890.6,1366.29,3.12652,,,
7,"F3",831,408498,491.573,1.26908E+07,15271.7,2799.11,3.36836,,,
7,"F4",628,304682,485.162,9134860,14546,2046.75,3.25916,,,
7,"F5",451,310183,687.767,1.09495E+07,24278.4,1721.1,3.81619,,,
7,"F6",869,571813,658.012,1.89247E+07,21777.6,3135.36,3.60801,,,
7,"F7",565,364516,645.16,1.33705E+07,23664.5,2289.92,4.05296,,,
7,"F8",620,404439,652.32,1.35717E+07,21889.9,2295.52,3.70245,,,
7,"F9",604,462525,765.77,1.59593E+07,26422.7,2269.09,3.75678,,,
7,"F10",486,443837,913.246,1.73032E+07,35603.4,2050.09,4.21829,,,
7,"F11",353,306244,867.547,1.15454E+07,32706.5,1425.56,4.03842,,,
7,"F12",536,454749,848.413,1.65205E+07,30821.8,2129,3.97202,,,
8,"F1",666,334428,502.144,1.02868E+07,15445.6,2221.24,3.3352,,,
8,"F2",474,224273,473.149,6589710,13902.3,1493.05,3.14989,,,
8,"F3",906,456652,504.03,1.39916E+07,15443.2,3031.92,3.34649,,,
8,"F4",641,323545,504.751,9832470,15339.3,2113.53,3.29723,,,
8,"F5",517,339772,657.2,1.21575E+07,23515.4,2024.73,3.91631,,,
8,"F6",1016,659425,649.04,2.23407E+07,21988.9,3807.01,3.74706,,,
8,"F7",588,392068,666.782,1.40984E+07,23976.8,2334.44,3.97013,,,
8,"F8",678,444724,655.935,1.43291E+07,21134.4,2416.68,3.56443,,,
8,"F9",630,471951,749.128,1.64765E+07,26153.3,2385.02,3.78575,,,
8,"F10",605,546486,903.283,2.06769E+07,34176.7,2491.31,4.11787,,,
8,"F11",405,349662,863.362,1.31406E+07,32445.8,1646.95,4.06654,,,
8,"F12",581,465862,801.827,1.72319E+07,29659,2337.53,4.02329,,,
9,"F1",692,350361,506.302,1.05896E+07,15302.8,2275.64,3.2885,,,
9,"F2",507,248400,489.941,7435550,14665.8,1644.69,3.24396,,,
9,"F3",970,437041,450.558,1.32372E+07,13646.6,3151.43,3.24889,,,
9,"F4",667,334890,502.084,1.01413E+07,15204.4,2186.49,3.27809,,,
9,"F5",562,380908,677.772,1.36188E+07,24232.8,2184.11,3.88631,,,
9,"F6",1102,723991,656.979,2.42201E+07,21978.3,4077.68,3.70025,,,
9,"F7",620,422598,681.61,1.47986E+07,23868.6,2419.06,3.90172,,,
9,"F8",757,458593,605.803,1.57104E+07,20753.4,2806.61,3.70754,,,
9,"F9",654,503689,770.167,1.77162E+07,27089.1,2482.98,3.79661,,,
9,"F10",738,645952,875.274,2.49234E+07,33771.6,3058.59,4.14442,,,
9,"F11",452,382691,846.662,1.41836E+07,31379.7,1819.54,4.02552,,,
9,"F12",681,565942,831.046,2.03026E+07,29813,2667.35,3.91681,,,
10,"F1",685,320844,468.385,9679320,14130.4,2241.95,3.27293,,,
