"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"E1",50,9379.7,187.594,144994,2899.88,87.4834,1.74967,,,
1,"E2",27,5397.69,199.914,97085,3595.74,51.4188,1.9044,,,
1,"E3",24,5427.67,226.153,123977,5165.71,47.848,1.99367,,,
1,"E4",10,2265.06,226.506,52782,5278.2,24.0431,2.4043,,,
1,"E5",269,83956.3,312.105,2254310,8380.35,798.42,2.9681,,,
1,"E6",425,200949,472.82,6705620,15777.9,1545.78,3.63712,,,
1,"E7",1127,484138,429.581,1.53519E+07,13621.9,3937.47,3.49376,,,
1,"E8",773,257548,333.18,7772310,10054.7,2496.43,3.22953,,,
1,"E9",882,548357,621.719,2.01967E+07,22898.7,3642.52,4.12984,,,
1,"E10",1365,749172,548.844,2.52728E+07,18514.9,5213.77,3.81961,,,
1,"E11",1606,864463,538.271,2.97451E+07,18521.3,6230.24,3.87936,,,
1,"E12",1151,798043,693.348,3.02165E+07,26252.3,4919.54,4.27415,,,
2,"E1",321,60345,187.991,1017550,3169.92,561.441,1.74904,,,
2,"E2",245,45785.5,186.879,793066,3237,462.412,1.8874,,,
2,"E3",213,42955.8,201.67,896340,4208.17,405.399,1.90328,,,
2,"E4",38,11106.9,292.288,340226,8953.32,97.4815,2.5653,,,
2,"E5",2147,608673,283.499,1.57905E+07,7354.67,6086.11,2.8347,,,
2,"E6",2929,1407300,480.472,4.77929E+07,16317.1,11032,3.76646,,,
2,"E7",2698,1007010,373.244,2.99913E+07,11116.1,8821.42,3.26961,,,
2,"E8",1908,562997,295.072,1.58821E+07,8323.93,5690.35,2.98236,,,
2,"E9",2649,1618860,611.119,5.86542E+07,22142,11022.2,4.16089,,,
2,"E10",3692,1848600,500.705,6.09676E+07,16513.4,13786.2,3.73407,,,
2,"E11",3983,1948060,489.093,6.52322E+07,16377.7,14977.7,3.76042,,,
2,"E12",3013,1917910,636.544,7.1325E+07,23672.4,12789.4,4.24472,,,
3,"E1",291,59335.8,203.903,1162420,3994.57,536.922,1.84509,,,
3,"E2",235,45238.8,192.505,852083,3625.89,454.318,1.93327,,,
3,"E3",256,54731.7,213.796,1196170,4672.54,495.144,1.93416,,,
3,"E4",59,16131.8,273.421,481123,8154.63,148.543,2.51768,,,
3,"E5",3308,873739,264.129,2.16523E+07,6545.44,8787.38,2.6564,,,
3,"E6",4753,1942180,408.623,6.21493E+07,13075.8,16644.5,3.50188,,,
3,"E7",3743,1323870,353.691,3.83987E+07,10258.8,11855.7,3.16744,,,
3,"E8",2738,767371,280.267,2.10369E+07,7683.31,7861.96,2.87142,,,
3,"E9",4095,2333870,569.932,8.23496E+07,20109.8,16637.6,4.06289,,,
3,"E10",5620,2648670,471.294,8.5494E+07,15212.5,20586.8,3.66313,,,
3,"E11",5818,2732570,469.676,8.92132E+07,15334,21351.3,3.66987,,,
3,"E12",4460,2766880,620.376,1.01973E+08,22864,18785.4,4.21196,,,
4,"E1",318,63957.7,201.125,1204580,3788,570.13,1.79286,,,
4,"E2",253,52677.9,208.213,1039890,4110.23,492.168,1.94533,,,
4,"E3",248,56336.8,227.164,1356760,5470.79,506.57,2.04262,,,
4,"E4",6,2293.68,382.28,74390,12398.3,20.7104,3.45173,,,
4,"E5",4049,1009360,249.287,2.35835E+07,5824.53,10162.2,2.50981,,,
4,"E6",6253,2706770,432.876,8.92589E+07,14274.6,22740.9,3.6368,,,
4,"E7",4588,1567200,341.588,4.48374E+07,9772.75,14300,3.11683,,,
4,"E8",3227,874917,271.124,2.36027E+07,7314.13,9075.54,2.81238,,,
4,"E9",5004,2838310,567.209,1.00339E+08,20051.8,20393,4.07535,,,
4,"E10",7196,3267920,454.13,1.04917E+08,14579.9,26177.6,3.6378,,,
4,"E11",7098,3227030,454.639,1.04876E+08,14775.5,25998,3.66273,,,
4,"E12",5353,3165470,591.345,1.16005E+08,21671,22428.1,4.18982,,,
5,"E1",330,68241.5,206.793,1395760,4229.58,584.175,1.77023,,,
5,"E2",222,45785.6,206.241,962597,4336.02,434.441,1.95694,,,
5,"E3",245,57693.6,235.484,1352330,5519.73,504.785,2.06035,,,
5,"E4",63,19797,314.239,640652,10169.1,179.252,2.84526,,,
5,"E5",4660,1145580,245.833,2.66587E+07,5720.75,11677.5,2.50591,,,
5,"E6",6997,2942540,420.543,9.64074E+07,13778.4,25231.6,3.60606,,,
5,"E7",5259,1737820,330.447,4.91244E+07,9341.01,16098.4,3.06111,,,
5,"E8",3561,928869,260.845,2.40142E+07,6743.67,9532.24,2.67684,,,
5,"E9",5687,3150360,553.959,1.10689E+08,19463.5,22998.6,4.04407,,,
5,"E10",8299,3631340,437.564,1.15758E+08,13948.4,29914.7,3.60461,,,
5,"E11",7985,3482840,436.173,1.12369E+08,14072.5,28907.2,3.62019,,,
5,"E12",6081,3565750,586.376,1.29758E+08,21338.2,25286.5,4.15828,,,
6,"E1",296,62139.6,209.931,1336440,4515.01,534.779,1.80669,,,
6,"E2",211,44013.5,208.595,931677,4415.53,419.682,1.98901,,,
6,"E3",212,52625.6,248.234,1388530,6549.65,461.817,2.17838,,,
6,"E4",69,21494.7,311.518,690135,10002,196.986,2.85488,,,
6,"E5",5160,1243360,240.961,2.84814E+07,5519.65,12660.3,2.45355,,,
6,"E6",7473,2947090,394.365,9.36608E+07,12533.2,25877.7,3.46283,,,
6,"E7",5795,1884840,325.253,5.27107E+07,9095.88,17514.8,3.02239,,,
6,"E8",3777,993798,263.118,2.6122E+07,6916.07,10321,2.7326,,,
6,"E9",6223,3362010,540.256,1.1749E+08,18880,25006.7,4.01843,,,
6,"E10",9198,3928300,427.082,1.24631E+08,13549.8,32936,3.58078,,,
6,"E11",8775,3783240,431.139,1.21451E+08,13840.6,31544.5,3.59481,,,
6,"E12",6668,3840590,575.974,1.3877E+08,20811.3,27505.6,4.12502,,,
7,"E1",290,62721,216.279,1353660,4667.79,530.375,1.82888,,,
7,"E2",217,45040,207.557,922661,4251.89,423.967,1.95377,,,
7,"E3",239,57097.4,238.901,1479860,6191.89,510.974,2.13797,,,
7,"E4",77,22924.7,297.724,677458,8798.16,202.342,2.62782,,,
7,"E5",5554,1318210,237.345,2.98484E+07,5374.22,13446,2.42096,,,
7,"E6",7754,3142520,405.277,1.00965E+08,13021.1,27245.4,3.51372,,,
7,"E7",6295,1992550,316.529,5.53547E+07,8793.45,18776.4,2.98275,,,
7,"E8",3905,1022700,261.895,2.67352E+07,6846.4,10595.4,2.71328,,,
7,"E9",6731,3560560,528.98,1.22912E+08,18260.5,26716.4,3.96915,,,
7,"E10",9976,4216280,422.642,1.32744E+08,13306.3,35320,3.54049,,,
7,"E11",9385,3887230,414.196,1.23821E+08,13193.5,33332.4,3.55166,,,
7,"E12",7120,4011200,563.371,1.44732E+08,20327.6,29322.5,4.11833,,,
8,"E1",266,58952.6,221.626,1304630,4904.64,508.951,1.91335,,,
8,"E2",252,50438.2,200.152,1005220,3988.98,474.077,1.88126,,,
8,"E3",247,59773.9,241.999,1462260,5920.06,525.138,2.12607,,,
8,"E4",73,22515.7,308.434,737858,10107.6,206.627,2.83051,,,
8,"E5",5882,1384450,235.37,3.11775E+07,5300.49,14111.6,2.39912,,,
8,"E6",7986,3225520,403.897,1.03408E+08,12948.6,27945.3,3.49928,,,
8,"E7",6653,2094420,314.808,5.7757E+07,8681.35,19764,2.97069,,,
8,"E8",3891,998215,256.545,2.58131E+07,6634.07,10309.4,2.64954,,,
8,"E9",7148,3717090,520.019,1.27544E+08,17843.4,28185.7,3.94316,,,
8,"E10",10596,4355110,411.015,1.36244E+08,12858.1,37269,3.51727,,,
8,"E11",9797,4082780,416.738,1.29477E+08,13216,34732.6,3.54522,,,
8,"E12",7472,4147930,555.129,1.49245E+08,19974,30663.6,4.1038,,,
9,"E1",278,61137.1,219.918,1381660,4970,527.757,1.89841,,,
9,"E2",248,49493.3,199.57,959671,3869.64,453.961,1.83049,,,
9,"E3",228,57080.7,250.354,1560530,6844.44,514.664,2.2573,,,
9,"E4",81,24444.7,301.786,774954,9567.33,226.267,2.79341,,,
9,"E5",6162,1442300,234.064,3.24217E+07,5261.56,14792.9,2.40067,,,
9,"E6",8148,3250140,398.888,1.03862E+08,12746.9,28394,3.48478,,,
9,"E7",6944,2177200,313.537,5.99599E+07,8634.79,20585.8,2.96455,,,
9,"E8",3979,1018720,256.024,2.63612E+07,6625.09,10529.7,2.64631,,,
9,"E9",7485,3916230,523.21,1.34907E+08,18023.7,29607.7,3.95561,,,
9,"E10",11009,4476460,406.618,1.37553E+08,12494.6,37808.6,3.43434,,,
9,"E11",10146,4183590,412.339,1.31737E+08,12984.1,35691.8,3.51782,,,
9,"E12",7726,4278680,553.803,1.53566E+08,19876.5,31660.8,4.09795,,,
10,"E1",290,63490.5,218.933,1375480,4743.03,533.708,1.84037,,,
10,"E2",286,56435.6,197.327,1095590,3830.72,534.422,1.86861,,,
10,"E3",267,65252.8,244.393,1668100,6247.57,580.485,2.1741,,,
10,"E4",74,24783.5,334.911,780732,10550.4,216.745,2.92898,,,
10,"E5",6380,1490130,233.563,3.33888E+07,5233.35,15280.3,2.39503,,,
10,"E6",8252,3325760,403.024,1.06659E+08,12925.2,28931.8,3.50603,,,
10,"E7",7205,2261290,313.851,6.17719E+07,8573.48,21242.6,2.94832,,,
10,"E8",4072,1044580,256.528,2.69505E+07,6618.49,10815.1,2.65596,,,
10,"E9",7727,3945650,510.631,1.34838E+08,17450.3,30300.3,3.92136,,,
10,"E10",11451,4638490,405.073,1.43651E+08,12544.8,39653.8,3.46291,,,
