"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"A7",129,2,1.55039,127,98.4496,92.0343,25.5075,9574,19148,184.069,25.7094,12.8547,,,
1,"A8",362,21,5.80111,341,94.1989,131.992,27.9372,14943.9,313822,2771.84,208.651,9.93575,,,
1,"B7",126,8,6.34921,118,93.6508,67.9679,28.1591,5137.38,41099,543.744,62.7262,7.84077,,,
1,"B8",307,35,11.4007,272,88.5993,99.8245,32.9293,9792,342720,3493.86,359.932,10.2838,,,
1,"C7",287,36,12.5436,251,87.4564,85.5755,33.0627,9333.39,336002,3080.72,405.875,11.2743,,,
1,"C8",191,14,7.32984,177,92.6702,292.734,43.6663,59468.4,832558,4098.28,342.673,24.4766,,,
1,"D7",231,11,4.7619,220,95.2381,96.048,27.436,9614.82,105763,1056.53,111.883,10.1712,,,
1,"D8",427,26,6.08899,401,93.911,109.655,29.1941,20007.8,520204,2851.02,430.394,16.5536,,,
1,"E7",344,22,6.39535,322,93.6047,92.0176,25.8622,14120.7,310655,2024.39,304.704,13.8502,,,
1,"F7",317,20,6.30915,297,93.6909,87.8951,38.5955,9428,188560,1757.9,226.981,11.349,,,
1,"G7",188,11,5.85106,177,94.1489,105.724,37.3599,15598,171578,1162.97,161.993,14.7266,,,
1,"H7",268,1,0.373134,267,99.6269,64.7308,17.9498,5049,5049,64.7308,9.28395,9.28395,,,
2,"A7",518,11,2.12355,507,97.8764,109.247,26.0105,15592.4,171516,1201.71,144.02,13.0927,,,
2,"A8",659,31,4.7041,628,95.2959,122.823,25.7449,13439.3,416618,3807.51,349.934,11.2882,,,
2,"B7",490,23,4.69388,467,95.3061,85.1103,28.2497,6537.17,150355,1957.54,197.581,8.5905,,,
2,"B8",799,56,7.00876,743,92.9912,90.7185,29.3923,20084.8,1124750,5080.24,787.707,14.0662,,,
2,"C7",492,49,9.95935,443,90.0406,95.4467,31.6313,20809.2,1019650,4676.89,682.846,13.9356,,,
2,"C8",621,41,6.60225,580,93.3978,181.474,33.9301,26004.8,1066200,7440.44,627.857,15.3136,,,
2,"D7",915,47,5.13661,868,94.8634,94.8601,27.1909,8263.36,388378,4458.43,444.677,9.46122,,,
2,"D8",944,35,3.70763,909,96.2924,99.9843,27.5718,17977.3,629204,3499.45,537.041,15.344,,,
2,"E7",767,35,4.56323,732,95.4368,76.8809,23.6061,7261.09,254138,2690.83,335.531,9.58661,,,
2,"F7",592,39,6.58784,553,93.4122,77.9814,34.801,7608.67,296738,3041.27,367.668,9.42739,,,
2,"G7",496,23,4.6371,473,95.3629,90.8291,34.7333,8185.3,188262,2089.07,234.36,10.1896,,,
2,"H7",741,2,0.269906,739,99.7301,69.4342,18.2274,3109.5,6219,138.868,10.9503,5.47515,,,
3,"A7",856,11,1.28505,845,98.715,87.4436,24.7047,9673,106403,961.879,125.095,11.3723,,,
3,"A8",734,27,3.67847,707,96.3215,109.453,24.257,13828.3,373363,2955.22,310.774,11.5102,,,
3,"B7",738,35,4.74255,703,95.2575,92.2397,28.1104,8003.77,280132,3228.39,334.579,9.55941,,,
3,"B8",1079,78,7.22892,1001,92.7711,95.1519,28.714,22829.9,1780730,7421.85,1183.35,15.1711,,,
3,"C7",592,51,8.61487,541,91.3851,85.8984,29.6271,9137.2,465997,4380.82,542.635,10.6399,,,
3,"C8",994,47,4.72837,947,95.2716,190.173,31.2316,28665.1,1347260,8938.14,890.545,18.9478,,,
3,"D7",1295,77,5.94595,1218,94.0541,86.7787,26.7019,8363.43,643984,6681.96,771.401,10.0182,,,
3,"D8",1176,48,4.08163,1128,95.9184,100.537,27.0512,19267.3,924832,4825.77,734.265,15.2972,,,
3,"E7",865,61,7.05202,804,92.948,76.898,24.7956,6255.16,381565,4690.78,533.827,8.75126,,,
3,"F7",747,74,9.90629,673,90.0937,79.9956,34.7236,6813.86,504226,5919.67,669.278,9.04429,,,
3,"G7",589,27,4.58404,562,95.416,97.7514,34.4644,12345.5,333328,2639.29,355.885,13.1809,,,
3,"H7",903,1,0.110742,902,99.8893,71.1081,17.9978,2631,2631,71.1081,4.40392,4.40392,,,
4,"A7",1071,30,2.80112,1041,97.1989,93.878,25.0349,13656.9,409707,2816.34,417.778,13.9259,,,
4,"A8",847,26,3.06966,821,96.9303,114.713,23.6829,11738.5,305201,2982.54,226.505,8.71171,,,
4,"B7",930,58,6.23656,872,93.7634,81.0756,27.9087,7173.38,416056,4702.39,535.374,9.23059,,,
4,"B8",1242,75,6.03865,1167,93.9613,94.3129,27.9366,26767,2007530,7073.47,1303.92,17.3856,,,
4,"C7",665,54,8.1203,611,91.8797,89.231,29.5617,9462.39,510969,4818.47,592.506,10.9723,,,
4,"C8",1191,50,4.19815,1141,95.8018,157.694,28.3263,25236.1,1261800,7884.68,838.412,16.7682,,,
4,"D7",1518,73,4.80896,1445,95.191,91.2117,26.0469,9280.95,677509,6658.45,759.856,10.409,,,
4,"D8",1351,52,3.849,1299,96.151,103.919,26.6323,16321.1,848696,5403.8,762.593,14.6653,,,
4,"E7",917,59,6.43402,858,93.566,81.0079,24.1684,8518.9,502615,4779.47,625.357,10.5993,,,
4,"F7",858,76,8.85781,782,91.1422,87.3413,32.7846,8146.59,619141,6637.94,720.22,9.47658,,,
4,"G7",655,57,8.70229,598,91.2977,88.11,33.5164,9843.05,561054,5022.27,610.479,10.7102,,,
4,"H7",950,1,0.105263,949,99.8947,141.8,18.0245,4963,4963,141.8,4.16587,4.16587,,,
5,"A7",1203,26,2.16126,1177,97.8387,86.2634,24.0307,11834.7,307701,2242.85,338.626,13.0241,,,
5,"A8",948,23,2.42616,925,97.5738,94.6419,22.3927,8179.57,188130,2176.76,217.578,9.4599,,,
5,"B7",1119,53,4.73637,1066,95.2636,84.4511,27.0088,9568.36,507123,4475.91,587.15,11.0783,,,
5,"B8",1382,125,9.04486,1257,90.9551,88.9615,28.5889,19076.7,2384590,11120.2,1708.72,13.6698,,,
5,"C7",726,58,7.98898,668,92.011,82.0247,28.6169,8105.36,470111,4757.43,589.055,10.1561,,,
5,"C8",1264,65,5.14241,1199,94.8576,133.95,27.9702,20072.1,1304690,8706.73,896.972,13.7996,,,
5,"D7",1642,90,5.48112,1552,94.5189,85.2245,25.5797,7602.21,684199,7670.2,865.907,9.62119,,,
5,"D8",1511,64,4.23561,1447,95.7644,88.2187,25.6758,9943.86,636407,5646,687.488,10.742,,,
5,"E7",936,36,3.84615,900,96.1538,78.3873,23.0882,6597.47,237509,2821.94,325.295,9.03598,,,
5,"F7",902,61,6.76275,841,93.2373,75.9339,32.5338,6657.54,406110,4631.97,562.75,9.22541,,,
5,"G7",716,52,7.26257,664,92.7374,81.2353,33.3552,6881.54,357840,4224.24,461.936,8.88338,,,
5,"H7",981,2,0.203874,979,99.7961,102.083,17.9764,3181.5,6363,204.167,7.73662,3.86831,,,
6,"A7",1289,39,3.0256,1250,96.9744,87.3379,24.6024,11068.2,431659,3406.18,467.53,11.988,,,
6,"A8",1019,44,4.31796,975,95.682,99.1243,23.3277,13322.6,586195,4361.47,542.873,12.338,,,
6,"B7",1242,69,5.55556,1173,94.4444,80.8215,26.7695,6031.87,416199,5576.68,575.248,8.33692,,,
6,"B8",1478,134,9.06631,1344,90.9337,92.0181,28.3496,18318.3,2454650,12330.4,1845.24,13.7705,,,
6,"C7",827,74,8.948,753,91.052,84.7746,28.9171,9939.97,735558,6273.32,826.034,11.1626,,,
6,"C8",1311,75,5.72082,1236,94.2792,122.577,27.9305,20751.2,1556340,9193.31,1067.06,14.2275,,,
6,"D7",1714,47,2.74212,1667,97.2579,94.0167,24.2278,8641.72,406161,4418.79,484.194,10.302,,,
6,"D8",1598,56,3.50438,1542,96.4956,101.044,25.8206,16133.6,903483,5658.47,867.93,15.4988,,,
6,"E7",950,37,3.89474,913,96.1053,84.8479,23.4497,10982.8,406362,3139.37,478.123,12.9223,,,
6,"F7",956,24,2.51046,932,97.4895,95.7362,31.6357,11124.1,266979,2297.67,294.111,12.2546,,,
6,"G7",744,25,3.36022,719,96.6398,86.9561,31.5042,10117.4,252934,2173.9,306.251,12.2501,,,
6,"H7",991,1,0.100908,990,99.8991,90.1311,17.7209,5498,5498,90.1311,7.26053,7.26053,,,
7,"A7",1369,17,1.24178,1352,98.7582,115.466,24.0225,14292.2,242968,1962.92,227.457,13.3798,,,
7,"A8",1109,23,2.07394,1086,97.9261,98.2804,21.9568,9077.52,208783,2260.45,226.028,9.82732,,,
7,"B7",1348,33,2.44807,1315,97.5519,93.7402,25.7866,10212,336997,3093.43,359.932,10.907,,,
7,"B8",1537,110,7.1568,1427,92.8432,88.2365,27.1472,9317.82,1024960,9706.02,1148.35,10.4396,,,
7,"C7",899,46,5.1168,853,94.8832,88.0051,27.5394,9623.02,442659,4048.23,530.613,11.5351,,,
7,"C8",1374,69,5.02183,1305,94.9782,143.119,27.9261,20472.5,1412600,9875.23,952.795,13.8086,,,
7,"D7",1726,73,4.22943,1653,95.7706,84.4667,24.5099,8659.01,632108,6166.07,715.459,9.80081,,,
7,"D8",1665,48,2.88288,1617,97.1171,89.4387,24.7591,9689.4,465091,4293.06,543.111,11.3148,,,
7,"E7",968,60,6.19835,908,93.8017,70.684,23.0063,7584.95,455097,4241.04,595.601,9.92669,,,
7,"F7",1015,109,10.7389,906,89.2611,75.3603,33.3519,5795.29,631687,8214.27,916.969,8.41256,,,
7,"G7",764,53,6.93717,711,93.0628,89.3578,33.7975,9371.06,496666,4735.96,577.509,10.8964,,,
7,"H7",996,0,0,996,100,0,17.5232,0,0,0,0,0,,,
8,"A7",1429,19,1.3296,1410,98.6704,107.331,23.6101,13677.5,259873,2039.29,252.333,13.2807,,,
8,"A8",1157,31,2.67934,1126,97.3207,86.2296,21.4423,8161.84,253017,2673.12,297.324,9.59111,,,
8,"B7",1411,79,5.59887,1332,94.4011,83.3337,26.4164,8332.09,658235,6583.36,812.941,10.2904,,,
8,"B8",1567,88,5.61583,1479,94.3842,89.9066,26.5002,21257,1870620,7911.78,1327.6,15.0864,,,
8,"C7",944,95,10.0636,849,89.9364,70.9119,26.9622,6713.09,637744,6736.63,883.046,9.29523,,,
8,"C8",1419,54,3.8055,1365,96.1945,184.641,28.4605,23847.9,1287790,9970.62,827.462,15.3234,,,
8,"D7",1755,105,5.98291,1650,94.0171,80.4003,24.6381,7098.36,745328,8442.03,962.912,9.17059,,,
8,"D8",1719,76,4.42118,1643,95.5788,80.9726,24.785,8003.05,608232,6153.92,745.573,9.81017,,,
8,"E7",971,57,5.87024,914,94.1298,69.9173,22.7595,5608.07,319660,3985.29,493.24,8.65333,,,
8,"F7",1085,76,7.00461,1009,92.9954,77.0681,30.9983,7075.51,537739,5857.17,720.339,9.47815,,,
8,"G7",792,57,7.19697,735,92.803,90.2062,33.1683,10688.8,609263,5141.75,662.612,11.6248,,,
8,"H7",1004,0,0,1004,100,0,17.4347,0,0,0,0,0,,,
9,"A7",1464,14,0.956284,1450,99.0437,101.051,23.3393,15364.6,215104,1414.71,204.485,14.6061,,,
9,"A8",1191,35,2.93871,1156,97.0613,82.9897,21.3978,8698.06,304432,2904.64,357.67,10.2191,,,
9,"B7",1471,77,5.23453,1394,94.7655,82.5906,26.0517,8113.45,624736,6359.47,734.622,9.54055,,,
9,"B8",1579,133,8.42305,1446,91.5769,81.3903,26.4556,16021.8,2130900,10824.9,1658.97,12.4735,,,
9,"C7",1018,60,5.89391,958,94.1061,83.3935,27.0011,8716.37,522982,5003.61,649.757,10.8293,,,
9,"C8",1443,63,4.3659,1380,95.6341,140.889,26.8332,25043.8,1577760,8876,978.505,15.5318,,,
9,"D7",1771,68,3.83964,1703,96.1604,80.9221,23.4644,7285.21,495394,5502.71,623.096,9.16317,,,
9,"D8",1761,59,3.35037,1702,96.6496,92.81,24.6777,11967.2,706063,5475.79,705.461,11.957,,,
9,"E7",978,57,5.82822,921,94.1718,67.3661,22.2065,6135.04,349697,3839.86,514.307,9.02293,,,
9,"F7",1122,62,5.52585,1060,94.4742,90.8309,31.642,9791.1,607048,5631.51,664.279,10.7142,,,
9,"G7",812,53,6.52709,759,93.4729,80.9259,32.5866,8353.45,442733,4289.08,567.749,10.7122,,,
9,"H7",993,0,0,993,100,0,17.3102,0,0,0,0,0,,,
10,"A7",1512,28,1.85185,1484,98.1481,101.668,23.6548,14742.5,412791,2846.71,405.637,14.487,,,
10,"A8",1239,15,1.21065,1224,98.7893,104.336,20.7639,7531.73,112976,1565.05,120.453,8.03022,,,
10,"B7",1537,108,7.02668,1429,92.9733,76.7085,26.3046,6754.16,729449,8284.52,943.273,8.73401,,,
10,"B8",1581,138,8.72865,1443,91.2713,82.64,26.8281,8377.63,1156110,11404.3,1380.21,10.0015,,,
10,"C7",10,0,0,10,100,0,22.6861,0,0,0,0,0,,,
10,"C8",1450,57,3.93103,1393,96.069,126.525,25.479,26214.8,1494240,7211.91,910.541,15.9744,,,
10,"D7",1762,71,4.02951,1691,95.9705,88.4259,23.8032,7675.39,544953,6278.24,654.042,9.21186,,,
10,"D8",1777,71,3.9955,1706,96.0045,89.868,24.6739,11390.5,808728,6380.63,836.984,11.7885,,,
10,"E7",984,37,3.76016,947,96.2398,81.556,22.129,8123.78,300580,3017.57,360.408,9.74075,,,
10,"F7",1145,65,5.67686,1080,94.3231,84.3621,31.8334,9787.28,636173,5483.54,753.904,11.5985,,,
10,"G7",846,43,5.08274,803,94.9173,95.4037,32.1605,11259,484138,4102.36,522.52,12.1516,,,
10,"H7",998,1,0.1002,997,99.8998,76.7123,17.2645,5600,5600,76.7123,8.68882,8.68882,,,
11,"A7",1534,12,0.782269,1522,99.2177,111.849,22.9708,14744.3,176931,1342.19,165.326,13.7771,,,
11,"A8",1283,28,2.18238,1255,97.8176,87.7127,21.1382,6863.25,192171,2455.96,228.885,8.17447,,,
11,"B7",1573,76,4.83153,1497,95.1685,78.3443,25.4058,7151.5,543514,5954.17,699.034,9.19781,,,
11,"B8",1592,149,9.3593,1443,90.6407,84.1414,26.9603,16017.9,2386670,12537.1,2022.83,13.576,,,
11,"C7",1135,65,5.72687,1070,94.2731,91.7864,26.8533,10251.6,666352,5966.11,731.409,11.2524,,,
11,"C8",1468,56,3.81471,1412,96.1853,132.59,25.7797,25105.3,1405900,7425.02,929.347,16.5955,,,
11,"D7",1793,69,3.8483,1724,96.1517,86.4755,23.4221,8429.1,581608,5966.81,673.324,9.75832,,,
11,"D8",1792,46,2.56696,1746,97.433,103.794,24.1406,18331.5,843248,4774.52,737.479,16.0322,,,
11,"E7",988,87,8.80567,901,91.1943,59.6721,22.154,5149.93,448044,5191.47,751.405,8.63684,,,
11,"F7",1172,92,7.84983,1080,92.1502,84.4223,31.6393,6729.17,619084,7766.86,799.372,8.68882,,,
11,"G7",883,69,7.81427,814,92.1857,76.9991,32.4569,7781.54,536926,5312.94,690.702,10.0102,,,
11,"H7",1008,1,0.0992064,1007,99.9008,146.588,17.3293,4984,4984,146.588,4.04685,4.04685,,,
12,"A7",1570,25,1.59236,1545,98.4076,78.7466,22.6086,10520.3,263007,1968.66,280.542,11.2217,,,
12,"A8",1302,17,1.30568,1285,98.6943,94.4438,20.6734,7193.71,122293,1605.55,147.591,8.68182,,,
12,"B7",1620,112,6.91358,1508,93.0864,72.3822,25.6281,5938.29,665089,8106.81,961.96,8.58893,,,
12,"B8",1598,118,7.38423,1480,92.6158,86.724,26.2312,17421.9,2055780,10233.4,1647.07,13.9582,,,
12,"C7",1177,80,6.79694,1097,93.2031,82.6792,26.3361,8955.9,716472,6614.34,837.341,10.4668,,,
12,"C8",1494,63,4.21687,1431,95.7831,142.639,26.287,25146.2,1584210,8986.25,1001.95,15.904,,,
12,"D7",1797,105,5.84307,1692,94.1569,71.9499,23.1901,6604.73,693497,7554.74,936.489,8.91894,,,
12,"D8",1798,40,2.22469,1758,97.7753,83.2133,23.1147,7585.13,303405,3328.53,384.332,9.60829,,,
12,"E7",996,45,4.51807,951,95.4819,72.265,21.9405,7409.4,333423,3251.92,447.415,9.94256,,,
12,"F7",1175,114,9.70213,1061,90.2979,68.2254,30.4462,6122.46,697961,7777.7,1060.27,9.30066,,,
12,"G7",894,78,8.72483,816,91.2752,80.9553,32.0188,8721.5,680277,6314.52,810.798,10.3948,,,
12,"H7",998,1,0.1002,997,99.8998,69.5467,17.2279,5216,5216,69.5467,8.92688,8.92688,,,
13,"A7",1551,50,3.22373,1501,96.7763,69.3778,21.3768,8442.48,422124,3468.89,556.561,11.1312,,,
13,"A8",1314,28,2.1309,1286,97.8691,83.332,20.6442,7227.39,202367,2333.29,255.904,9.13942,,,
13,"B7",1645,102,6.20061,1543,93.7994,79.6349,25.8558,6488.01,661777,8122.76,936.846,9.18476,,,
13,"B8",1613,124,7.68754,1489,92.3125,85.8413,25.9665,11679.5,1448260,10644.3,1475.67,11.9006,,,
13,"C7",1217,92,7.55957,1125,92.4404,79.3476,26.4233,8045.41,740178,7299.98,897.806,9.75876,,,
13,"C8",1506,70,4.64807,1436,95.3519,137.101,26.223,20740.5,1451830,9597.07,945.892,13.5127,,,
13,"D7",1814,71,3.914,1743,96.086,82.7888,22.9509,7145.13,507304,5878,647.377,9.11799,,,
13,"D8",1817,66,3.63236,1751,96.3676,89.2244,23.955,12916.1,852462,5888.81,817.107,12.3804,,,
13,"E7",1007,54,5.36246,953,94.6375,68.3749,22.068,5534.87,298883,3692.24,460.746,8.53233,,,
13,"F7",1211,105,8.67052,1106,91.3295,77.2383,32.7579,6645.42,697769,8110.02,950.415,9.05157,,,
13,"G7",912,76,8.33333,836,91.6667,86.8505,32.0484,9847.49,748409,6600.64,838.293,11.0302,,,
13,"H7",1005,1,0.0995025,1004,99.9005,76.1733,17.1729,5713,5713,76.1733,8.92688,8.92688,,,
14,"A7",1607,20,1.24455,1587,98.7554,104.937,22.5426,11784,235679,2098.75,242.454,12.1227,,,
14,"A8",1338,36,2.69058,1302,97.3094,69.625,20.2808,6001.58,216057,2506.5,332.199,9.22774,,,
14,"B7",1681,97,5.77037,1584,94.2296,82.3839,25.7417,8037.87,779673,7991.23,966.364,9.96251,,,
14,"B8",1608,111,6.90299,1497,93.097,83.2876,25.4841,13570.2,1506290,9244.92,1319.27,11.8853,,,
14,"C7",1254,94,7.49601,1160,92.504,81.5953,26.5501,7798.04,733016,7669.96,881.856,9.38145,,,
14,"C8",1531,74,4.83344,1457,95.1666,123.094,25.9373,16091.6,1190780,9108.96,839.007,11.3379,,,
14,"D7",1810,63,3.48066,1747,96.5193,84.4637,22.7249,9563.44,602497,5321.21,693.797,11.0126,,,
14,"D8",1830,74,4.04372,1756,95.9563,84.6821,23.6764,10009.8,740728,6266.48,807.228,10.9085,,,
14,"E7",992,51,5.14113,941,94.8589,67.4861,22.2574,4669.84,238162,3441.79,387.426,7.5966,,,
