"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"D1",1,0,0,1,100,0,8.23063,0,0,0,0,0,,,
1,"D6",1,0,0,1,100,0,7.8012,0,0,0,0,0,,,
1,"D10",1,0,0,1,100,0,9.44568,0,0,0,0,0,,,
1,"D12",2,0,0,2,100,0,7.27843,0,0,0,0,0,,,
1,"D2",,,,,,,,,,,,,,,
1,"D3",,,,,,,,,,,,,,,
1,"D4",,,,,,,,,,,,,,,
1,"D5",,,,,,,,,,,,,,,
1,"D7",,,,,,,,,,,,,,,
1,"D8",,,,,,,,,,,,,,,
1,"D9",,,,,,,,,,,,,,,
1,"D11",,,,,,,,,,,,,,,
2,"D1",2,0,0,2,100,0,8.13728,0,0,0,0,0,,,
2,"D6",1,0,0,1,100,0,7.58204,0,0,0,0,0,,,
2,"D7",1,0,0,1,100,0,7.85616,0,0,0,0,0,,,
2,"D8",3,0,0,3,100,0,9.95333,0,0,0,0,0,,,
2,"D10",1,0,0,1,100,0,9.14017,0,0,0,0,0,,,
2,"D12",2,0,0,2,100,0,8.47355,0,0,0,0,0,,,
2,"D2",,,,,,,,,,,,,,,
2,"D3",,,,,,,,,,,,,,,
2,"D4",,,,,,,,,,,,,,,
2,"D5",,,,,,,,,,,,,,,
2,"D9",,,,,,,,,,,,,,,
2,"D11",,,,,,,,,,,,,,,
3,"D1",1,0,0,1,100,0,8.14399,0,0,0,0,0,,,
3,"D3",1,0,0,1,100,0,7.56398,0,0,0,0,0,,,
3,"D6",2,0,0,2,100,0,8.18999,0,0,0,0,0,,,
3,"D7",2,0,0,2,100,0,7.34855,0,0,0,0,0,,,
3,"D8",3,0,0,3,100,0,9.87018,0,0,0,0,0,,,
3,"D9",1,0,0,1,100,0,8.19547,0,0,0,0,0,,,
3,"D10",1,0,0,1,100,0,9.41061,0,0,0,0,0,,,
3,"D12",1,0,0,1,100,0,8.42122,0,0,0,0,0,,,
3,"D2",,,,,,,,,,,,,,,
3,"D4",,,,,,,,,,,,,,,
3,"D5",,,,,,,,,,,,,,,
3,"D11",,,,,,,,,,,,,,,
4,"D1",2,0,0,2,100,0,7.89195,0,0,0,0,0,,,
4,"D3",1,0,0,1,100,0,8.01969,0,0,0,0,0,,,
4,"D4",2,0,0,2,100,0,9.0583,0,0,0,0,0,,,
4,"D6",2,0,0,2,100,0,8.45214,0,0,0,0,0,,,
4,"D7",2,0,0,2,100,0,7.99529,0,0,0,0,0,,,
4,"D8",3,0,0,3,100,0,9.74313,0,0,0,0,0,,,
4,"D9",1,0,0,1,100,0,8.1293,0,0,0,0,0,,,
4,"D10",2,0,0,2,100,0,9.22864,0,0,0,0,0,,,
4,"D2",,,,,,,,,,,,,,,
4,"D5",,,,,,,,,,,,,,,
4,"D11",,,,,,,,,,,,,,,
4,"D12",,,,,,,,,,,,,,,
5,"D1",1,0,0,1,100,0,8.31265,0,0,0,0,0,,,
5,"D3",2,0,0,2,100,0,8.13723,0,0,0,0,0,,,
5,"D4",5,0,0,5,100,0,8.57139,0,0,0,0,0,,,
5,"D6",2,0,0,2,100,0,8.28328,0,0,0,0,0,,,
5,"D7",3,0,0,3,100,0,8.00665,0,0,0,0,0,,,
5,"D8",3,0,0,3,100,0,9.37195,0,0,0,0,0,,,
5,"D9",5,0,0,5,100,0,8.85216,0,0,0,0,0,,,
5,"D10",3,1,33.3333,2,66.6667,21.9683,13.7139,809863,809863,21.9683,4387.86,4387.86,,,
