"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"F2",72,3,4.16667,69,95.8333,47.3542,12.459,3171,9513,142.063,21.0674,7.02247,,,
1,"F3",164,8,4.87805,156,95.1219,53.5072,20.8422,5343.75,42750,428.057,77.7233,9.71542,,,
1,"F4",354,6,1.69492,348,98.3051,54.5985,9.74438,9910.83,59465,327.591,110.931,18.4886,,,
1,"F5",790,9,1.13924,781,98.8608,40.2494,16.3514,2871.89,25847,362.244,72.3672,8.0408,,,
1,"F6",127,1,0.787402,126,99.2126,39.45,11.2788,789,789,39.45,2.3805,2.3805,,,
1,"F7",142,1,0.704225,141,99.2958,28.3077,10.8177,1472,1472,28.3077,6.1893,6.1893,,,
1,"F8",380,9,2.36842,371,97.6316,39.0986,13.8141,18293.4,164641,351.887,246.144,27.3493,,,
1,"F9",164,1,0.609756,163,99.3902,72.5127,14.3399,71135,71135,72.5127,116.764,116.764,,,
1,"F10",2,0,0,2,100,0,10.3667,0,0,0,0,0,,,
1,"F11",101,1,0.990099,100,99.0099,50.7024,13.585,4259,4259,50.7024,9.9981,9.9981,,,
1,"F12",353,3,0.849858,350,99.1501,59.9979,12.0653,87146.3,261439,179.994,315.773,105.258,,,
1,"F1",,,,,,,,,,,,,,,
2,"F2",86,2,2.32558,84,97.6744,45.8417,11.77,6588.5,13177,91.6833,25.8284,12.9142,,,
2,"F3",891,18,2.0202,873,97.9798,48.6414,19.0347,3588.56,64594,875.545,137.712,7.65066,,,
2,"F4",777,9,1.1583,768,98.8417,56.8561,11.4388,31754.4,285790,511.705,353.385,39.265,,,
2,"F5",1166,6,0.51458,1160,99.4854,33.5398,13.1466,3106.17,18637,201.239,58.4413,9.74021,,,
2,"F6",336,1,0.297619,335,99.7024,40.4737,12.6343,769,769,40.4737,2.26148,2.26148,,,
2,"F7",425,3,0.705882,422,99.2941,33.5145,10.8028,2329.67,6989,100.544,22.6147,7.53825,,,
2,"F8",1460,12,0.821918,1448,99.1781,29.1172,12.224,1614.83,19378,349.407,79.2707,6.60589,,,
