"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"E1",51,19452.1,381.414,468581,9187.86,127.952,2.50886,,,
1,"E2",3,340.188,113.396,4527,1509,4.52295,1.50765,,,
1,"E3",292,42383.5,145.149,639220,2189.11,469.792,1.60888,,,
1,"E4",174,59053.2,339.386,1648760,9475.66,541.683,3.11312,,,
1,"E5",111,16668.9,150.17,448854,4043.73,215.792,1.94407,,,
1,"E6",53,7270.8,137.185,117858,2223.74,94.3868,1.78088,,,
1,"E7",98,15052.8,153.6,284861,2906.74,181.394,1.85096,,,
1,"E8",669,89413.5,133.652,1397650,2089.17,1161.09,1.73556,,,
1,"E9",297,47308.1,159.286,912427,3072.14,567.392,1.91041,,,
1,"E10",430,70409.2,163.742,1384680,3220.2,838.412,1.9498,,,
1,"E11",1530,243119,158.901,3989600,2607.58,2743.41,1.79308,,,
1,"E12",224,32069.6,143.168,553802,2472.33,369.93,1.65147,,,
2,"E1",269,119294,443.474,2877800,10698.1,724.743,2.69421,,,
2,"E2",6,673.451,112.242,10695,1782.5,10.9503,1.82505,,,
2,"E3",621,192422,309.857,4138540,6664.31,1315.94,2.11907,,,
2,"E4",595,211751,355.883,5992590,10071.6,1925.11,3.23548,,,
2,"E5",296,55880.4,188.785,1218260,4115.75,551.681,1.86379,,,
2,"E6",127,43748,344.472,1223490,9633.81,364.097,2.86691,,,
2,"E7",246,86099.6,349.999,2092820,8507.4,611.55,2.48598,,,
2,"E8",393,58064.4,147.747,977145,2486.37,710.579,1.80809,,,
2,"E9",806,136158,168.931,2496600,3097.51,1489.72,1.84828,,,
2,"E10",568,117751,207.309,2591000,4561.62,1227.27,2.16068,,,
2,"E11",1508,245142,162.561,4201810,2786.34,2760.07,1.83029,,,
2,"E12",354,66055.2,186.597,1307740,3694.19,646.782,1.82707,,,
3,"E1",526,235035,446.834,5408900,10283.1,1370.81,2.6061,,,
3,"E2",2,241.909,120.955,2539,1269.5,2.49953,1.24976,,,
3,"E3",932,332374,356.625,7306150,7839.22,2062.35,2.21282,,,
3,"E4",850,282643,332.521,8417410,9902.84,2904.69,3.41728,,,
3,"E5",383,93211.2,243.371,2199130,5741.86,806.037,2.10454,,,
3,"E6",291,97553.6,335.236,2360750,8112.54,722.839,2.48398,,,
3,"E7",409,146602,358.441,3424640,8373.19,980.171,2.39651,,,
3,"E8",544,77807.8,143.029,1331550,2447.69,991.478,1.82257,,,
3,"E9",950,166865,175.647,2996300,3154,1732.53,1.82371,,,
3,"E10",720,156526,217.397,3479210,4832.24,1554.47,2.15898,,,
3,"E11",1712,299714,175.066,5228030,3053.75,3205.94,1.87263,,,
3,"E12",444,94030.4,211.78,2051390,4620.25,901.614,2.03066,,,
4,"E1",694,312581,450.405,7238820,10430.6,1825.13,2.62987,,,
4,"E2",2,243.083,121.542,3174,1587,3.09465,1.54733,,,
