"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"G2",28,1140.94,40.748,23026,822.357,62.6072,2.23597,,,
1,"G3",576,16583.2,28.7903,224396,389.576,884.237,1.53513,,,
1,"G4",8,299.325,37.4156,5576,697,15.3542,1.91928,,,
1,"G5",51,1619.23,31.7496,25928,508.392,87.3643,1.71303,,,
1,"G6",109,3903.56,35.8125,58064,532.697,178.061,1.63359,,,
1,"G7",154,4467.11,29.0072,65256,423.74,243.168,1.57901,,,
1,"G8",35,1648.78,47.108,33923,969.229,76.5331,2.18666,,,
1,"G9",133,4372.03,32.8724,59338,446.15,199.486,1.49989,,,
1,"G10",14,530.819,37.9157,7787,556.214,22.6147,1.61534,,,
1,"G11",19,589.451,31.0238,6722,353.789,24.7572,1.30301,,,
1,"G12",7,224.97,32.1385,2628,375.429,9.64103,1.37729,,,
1,"G1",,,,,,,,,,
2,"G1",1,30,30,360,360,1.4283,1.4283,,,
2,"G2",150,4800.41,32.0027,83908,559.387,272.21,1.81473,,,
2,"G3",37,1304.28,35.2509,20657,558.297,62.9642,1.70174,,,
2,"G4",19,597.258,31.4346,11179,588.368,32.9699,1.73526,,,
2,"G5",60,2107.49,35.1248,35056,584.267,103.433,1.72388,,,
2,"G6",106,3555.59,33.5433,51328,484.226,166.635,1.57203,,,
2,"G7",95,6340.75,66.7448,102577,1079.76,177.347,1.86681,,,
2,"G8",48,2213.58,46.1162,39329,819.354,91.2922,1.90192,,,
2,"G9",47,1713.83,36.4645,25862,550.255,75.6999,1.61064,,,
2,"G10",16,638.494,39.9059,8677,542.313,26.0665,1.62915,,,
2,"G11",25,682.708,27.3083,7172,286.88,30.2324,1.20929,,,
2,"G12",8,274.607,34.3259,3479,434.875,11.7835,1.47293,,,
3,"G2",91,3282.68,36.0734,61735,678.407,181.275,1.99203,,,
3,"G3",29,1038.62,35.8144,17079,588.931,50.9427,1.75664,,,
3,"G4",3,131.59,43.8633,5773,1924.33,13.0928,4.36425,,,
3,"G5",55,1963.3,35.6964,32323,587.691,94.9819,1.72694,,,
3,"G6",422,13012.4,30.835,174783,414.178,641.783,1.52081,,,
3,"G7",101,6040.79,59.8098,87546,866.792,168.539,1.66871,,,
3,"G8",38,1661.82,43.732,32500,855.263,76.414,2.0109,,,
3,"G9",153,4876.06,31.8697,64612,422.301,227.219,1.48509,,,
3,"G10",9,370.558,41.1731,6031,670.111,16.3064,1.81183,,,
3,"G11",121,3516.73,29.0639,38626,319.223,151.162,1.24927,,,
3,"G12",6,176.853,29.4755,2427,404.5,9.40298,1.56716,,,
3,"G1",,,,,,,,,,
4,"G2",127,4607.85,36.2823,84407,664.622,245.191,1.93064,,,
4,"G3",19,752.508,39.6057,11686,615.053,33.327,1.75405,,,
4,"G4",40,1175.66,29.3915,17397,434.925,59.9886,1.49972,,,
4,"G5",145,4767.04,32.8761,66418,458.055,222.339,1.53337,,,
4,"G6",68,2757.79,40.5558,38703,569.162,107.599,1.58233,,,
4,"G7",90,4641.37,51.5708,72324,803.6,160.208,1.78009,,,
4,"G8",28,1390.76,49.6699,25974,927.643,57.6081,2.05743,,,
4,"G9",172,5407.01,31.4361,75507,438.994,269.235,1.56532,,,
4,"G10",14,535.263,38.2331,9304,664.571,26.8997,1.9214,,,
4,"G11",40,1966.44,49.161,25503,637.575,59.9886,1.49972,,,
4,"G12",2,63.9792,31.9896,904,452,3.3327,1.66635,,,
4,"G1",,,,,,,,,,
5,"G1",4,178.418,44.6045,3562,890.5,9.0459,2.26148,,,
5,"G2",137,5163.1,37.6868,98213,716.883,272.091,1.98607,,,
5,"G3",35,1231.23,35.1781,19353,552.943,60.2267,1.72076,,,
5,"G4",22,729.255,33.148,11329,514.955,36.0646,1.6393,,,
5,"G5",100,3414.34,34.1434,52846,528.46,163.421,1.63421,,,
5,"G6",66,2648.28,40.1254,43320,656.364,118.192,1.79079,,,
5,"G7",78,3795.82,48.6644,55729,714.474,129.261,1.65719,,,
5,"G8",43,1948.04,45.3033,42346,984.791,90.34,2.10093,,,
5,"G9",49,1681.91,34.3246,25899,528.551,80.5799,1.64449,,,
5,"G10",15,617.233,41.1488,10988,732.533,29.3992,1.95995,,,
5,"G11",89,2777.69,31.21,33433,375.652,118.43,1.33067,,,
5,"G12",1,29,29,261,261,1.07123,1.07123,,,
6,"G1",10,365.333,36.5333,4644,464.4,14.5211,1.45211,,,
6,"G2",86,3397.53,39.5061,65666,763.558,178.18,2.07187,,,
6,"G3",35,1193.47,34.099,19363,553.229,62.1311,1.77517,,,
6,"G4",7,282.478,40.354,6020,860,14.9972,2.14245,,,
6,"G5",200,6523.21,32.616,93594,467.97,312.084,1.56042,,,
6,"G6",498,16431.9,32.9958,220938,443.651,747.358,1.50072,,,
6,"G7",74,3382.55,45.7101,51052,689.892,125.095,1.69048,,,
6,"G8",39,1698.22,43.544,39329,1008.44,86.2931,2.21264,,,
6,"G9",31,1021.43,32.9493,16514,532.71,51.7759,1.67019,,,
6,"G10",18,770.087,42.7826,11208,622.667,29.8753,1.65974,,,
6,"G11",58,2037.64,35.1318,24894,429.207,79.2707,1.36674,,,
6,"G12",2,55.1429,27.5714,664,332,2.8566,1.4283,,,
7,"G1",16,575.621,35.9763,6628,414.25,21.4245,1.33903,,,
7,"G2",209,7383.04,35.3256,127326,609.215,382.784,1.8315,,,
7,"G3",33,1169.67,35.4446,18277,553.849,56.0608,1.69881,,,
7,"G4",176,4849.65,27.5548,58972,335.068,238.407,1.35459,,,
