"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"F1",782,44905.7,57.4242,624706,798.857,1251.19,1.59999,,,
1,"F2",110,5200.88,47.2807,67625,614.773,159.851,1.45319,,,
1,"F3",1776,89098.8,50.1682,1182820,666.003,2685.08,1.51187,,,
1,"F4",879,47981.4,54.5863,694818,790.464,1402,1.59499,,,
1,"F5",1351,80934.2,59.9069,1236330,915.124,2304.44,1.70573,,,
1,"F6",486,23459.3,48.2702,304271,626.072,720.339,1.48218,,,
1,"F7",1737,99894,57.5095,1366360,786.621,2680.44,1.54315,,,
1,"F8",1986,130160,65.5387,2253200,1134.54,3788.09,1.9074,,,
1,"F9",2716,158979,58.5343,2187720,805.492,4224.32,1.55534,,,
1,"F10",533,24249.6,45.4964,287302,539.028,722.125,1.35483,,,
1,"F11",937,40227,42.9317,442328,472.068,1201.56,1.28235,,,
1,"F12",11,792.002,72.0001,8670,788.182,14.402,1.30928,,,
2,"F1",512,26304.3,51.3756,328826,642.238,744.025,1.45317,,,
2,"F2",186,9193.72,49.4286,127569,685.855,286.374,1.53965,,,
2,"F3",399,20854.5,52.267,315503,790.734,650.948,1.63145,,,
2,"F4",357,18522.3,51.8832,266507,746.518,573.581,1.60667,,,
2,"F5",2841,173849,61.1929,2538470,893.512,4687.32,1.64989,,,
2,"F6",464,23089.3,49.7615,299962,646.47,688.322,1.48345,,,
2,"F7",895,53449.8,59.7205,817420,913.318,1470.08,1.64254,,,
2,"F8",1504,91679.7,60.9573,1533540,1019.64,2787.8,1.85359,,,
2,"F9",1597,88567,55.4584,1245530,779.919,2540.23,1.59063,,,
2,"F10",68,3531.01,51.9266,54303,798.574,114.502,1.68385,,,
2,"F11",151,6653.69,44.0642,78240,518.146,200.319,1.32662,,,
2,"F12",27,1747.92,64.738,25074,928.667,40.1114,1.48561,,,
3,"F1",335,17695.8,52.8233,211368,630.949,464.912,1.3878,,,
3,"F2",289,13993,48.4188,187741,649.623,432.537,1.49667,,,
3,"F3",515,26088.6,50.6574,384994,747.561,832.223,1.61597,,,
3,"F4",692,37173.4,53.7188,510679,737.975,1067.89,1.5432,,,
3,"F5",1940,115881,59.7326,1704640,878.678,3203.08,1.65107,,,
3,"F6",542,27350.9,50.463,357315,659.253,810.679,1.49572,,,
3,"F7",822,49604.6,60.3463,762406,927.501,1352.84,1.64579,,,
3,"F8",1401,82712.8,59.0384,1321460,943.228,2490.72,1.77781,,,
3,"F9",1954,108539,55.5469,1486740,760.872,3034.66,1.55305,,,
3,"F10",108,5489.3,50.8269,74160,686.667,160.803,1.48891,,,
3,"F11",31,1660.67,53.5699,22722,732.968,46.5388,1.50125,,,
3,"F12",38,2529.48,66.5653,32694,860.368,53.5613,1.40951,,,
4,"F1",304,16696.6,54.9229,198071,651.549,415.873,1.368,,,
4,"F2",291,14153.8,48.6386,189864,652.454,434.441,1.49293,,,
4,"F3",670,33251.2,49.6286,474870,708.761,1061.46,1.58428,,,
4,"F4",447,24192.9,54.1228,346835,775.917,713.912,1.59712,,,
4,"F5",1181,69215.4,58.6075,1017990,861.97,1944.51,1.6465,,,
4,"F6",628,31559.5,50.2539,406882,647.901,929.704,1.48042,,,
4,"F7",938,56578.5,60.3182,839893,895.408,1509.59,1.60938,,,
4,"F8",964,55693,57.7728,861685,893.864,1654.69,1.71648,,,
4,"F9",700,37384.7,53.4067,531391,759.13,1120.26,1.60038,,,
